customer_id,enter_frame,exit_frame,took_can,counter_wait_frames
CUST_0001,2,48,False,0
CUST_0008,571,603,True,0
CUST_0020,641,673,True,0
CUST_0023,652,685,True,0
CUST_0022,652,685,True,0
CUST_0024,659,690,False,0
CUST_0035,1335,1366,False,0
CUST_0044,1521,1554,False,0
CUST_0056,1588,1624,False,0
CUST_0063,1696,1728,False,0
CUST_0071,1788,1823,True,0
CUST_0075,1837,1914,False,0
CUST_0077,1869,2003,False,0
CUST_0082,1977,2054,True,0
CUST_0087,2067,2098,False,0
CUST_0109,2657,2689,False,0
CUST_0130,3271,3302,False,0
CUST_0155,4033,4138,True,0
CUST_0173,4409,4446,False,0
CUST_0200,5101,5148,False,0
CUST_0211,5298,5339,False,0
CUST_0231,5640,5699,False,0
CUST_0237,5751,5782,False,0
CUST_0236,5744,5791,False,0
CUST_0244,6008,6064,True,0
CUST_0266,6453,6494,True,0
CUST_0269,6491,6531,False,0
CUST_0278,6519,6593,False,0
CUST_0292,6886,6962,False,0
CUST_0304,7072,7105,True,0
CUST_0306,7094,7138,True,0
CUST_0315,7138,7169,False,0
CUST_0310,7113,7183,False,0
CUST_0333,7200,7264,False,0
CUST_0340,7292,7325,False,0
